State,Max RV Length,Measured Avg Site (ft),Measured Longest (ft),Tow Vehicle Counted in Site Length,Vehicles Allowed per Site,Where Tow / Extra Vehicles Park,Site Sizes Published?,Source,Campsite Check-in,Campsite Check-out,Check-in/out Source,Separate Tow Parking,Nightly Cost,Max Consecutive Nights,Fees/Stay Note,Fees/Stay Source
Hawaii,Not applicable - the state park system has no RV camping,,,n/a,n/a,n/a,n/a,https://dlnr.hawaii.gov/dsp/camping/,Not stated,Not stated,https://camping.ehawaii.gov/camping/resources/agency,Not stated,$20 resident / $30 non-resident,5 nights,Shorter at some parks; 30-day wait before staying in the same park again,https://dlnr.hawaii.gov/dsp/camping-lodging/hawaii/
Idaho,Not published statewide,,,Not stated,1 vehicle per reservation; 1 extra vehicle allowed for $7,Not stated,No,https://parksandrecreation.idaho.gov/park-activity/camping/,2:00 PM,1:00 PM,https://parksandrecreation.idaho.gov/park-activity/camping/,Not stated,$17-$84,14 nights,Non-resident rates are higher at several parks,https://parksandrecreation.idaho.gov/park-activity/camping/
Illinois,Measured from the reservation system: longest site 80 ft; Not published on IDNR camping pages (a 40 ft figure circulates but is not on an official page I could verify),41,80,Not stated,"2 vehicles per site at the parks that state it (e.g. Starved Rock, Shabbona Lake)",Not stated,No,https://dnr.illinois.gov/parks/camp/campingregulations.html,Not stated,3:00 PM,https://dnr.illinois.gov/parks/camp/reservation-information.html,Not stated,$11-$35,14 nights,14 nights within any 30-day period,https://dnr.illinois.gov/parks/camp/reservation-information.html
Indiana,Measured from the reservation system: longest site 199 ft; Not published statewide,46,199,Not stated,1 or 2 vehicles per site depending on the property,"""Additional vehicles must be parked in designated campground parking lots""",No,https://www.in.gov/dnr/state-parks/rates-and-fees/camping-restrictions,2:00 PM,2:00 PM,https://www.in.gov/dnr/state-parks/rates-and-fees/camping-manners/,Yes,$23-$65,14 nights,Lower rates Sunday-Wednesday,https://www.in.gov/dnr/state-parks/rates-and-fees/camping-restrictions
Iowa,"Measured from the reservation system: longest site 155 ft; Not published statewide; ""campsite capacity varies from park to park and site to site""",51,155,Not stated,1 basic camping unit per site (+ a small tent up to 8 ft x 10 ft),Not stated,No,https://www.iowadnr.gov/places-go/state-parks/parks-use-rules-guidelines,4:00 PM,3:00 PM,https://www.iowadnr.gov/places-go/state-parks/make-reservation/overnight-camping,Not stated,$9-$25,14 nights,3 nights out of the park after; Lake Manawa and Walnut Woods are 14 per 30 days,https://www.iowadnr.gov/places-go/state-parks/make-reservation/overnight-camping
Kansas,Not published statewide,,,Not stated,1 camping unit per site,Not stated,No,https://www.ksoutdoors.gov/programs-services/law-enforcement/regulations-statutes/state-park-regulations,2:00 PM,2:00 PM,https://www.law.cornell.edu/regulations/kansas/K-A-R-115-2-3,Not stated,$15-$40,14 nights,"Plus $11-$15 utility fee; one 14-day extension with written permission, then a 5-day absence",https://www.ksoutdoors.gov/licenses-permits-fees/kansas-state-park-entrance-and-camping-fees
Kentucky,Measured from the reservation system: longest site 120 ft; Not published statewide,45,120,Not stated,"""No more than two (2) vehicles shall be permitted per campsite, including recreational vehicles (RV)""",Not stated,No,https://parks.ky.gov/info/things-to-know/campground-regulations,2:00 PM,1:00 PM,https://parks.ky.gov/info/things-to-know/campground-regulations,Not stated,$15-$45,14 nights,Longer only with campground management approval,https://parks.ky.gov/things-to-do/lodging/reserve-a-campground
Louisiana,Measured from the reservation system: longest site 165 ft; Not published,59,165,Not stated,Not published,Not stated,No,https://www.lastateparks.com/louisiana-state-parks-frequently-asked-questions,2:00 PM,1:00 PM,https://www.lastateparks.com/reservation-information,Not stated,$28-$33,15 nights,Must vacate 7 consecutive days after a 15-day stay,https://www.lastateparks.com/fees-and-facilities
Maine,"Published as size classes: S = pop-up/tent to 20 ft, M = to 25 ft, L = to 30 ft, X = to 35 ft, U = over 35 ft",,,Not stated,"""Not more than two (2) motor vehicles including the visitor's vehicle""; 1 motor home/trailer/camper van per site",Not stated,YES - every site carries an S/M/L/X/U size class,https://www.maine.gov/dacf/parks/camping/rvs_and_campers.shtml,1:00 PM,11:00 AM,https://www.maine.gov/dacf/parks/park_passes_fees_rules/park_rules.shtml,Not stated,$15-$35 resident / $25-$45 non-resident,14 nights,"14 nights cumulative per campground, last Saturday in June to third Saturday in August; no limit off season",https://www.maine.gov/dacf/parks/camping/reservations/campground_fees.shtml
Maryland,Measured from the reservation system: longest site 76 ft; Park-specific; 25 ft maximum camping unit at parks that state it,33,76,Not stated,"2 vehicles per site (Wolf Den Run, Assateague)",Not stated,No,https://dnr.maryland.gov/publiclands/Documents/Assateague-State-Park-Campground-flyer-2020.pdf,Not stated,Not stated,https://dnr.maryland.gov/publiclands/pages/letsgocamping.aspx,Not stated,$20-$55,14 nights,14 cumulative nights in any 21-day period,https://parkreservations.maryland.gov/articles/camping/maryland-park-service-policies-and-rules
Massachusetts,"Measured from the reservation system: longest site 50 ft; Per site, expressed as driveway length (e.g. Tolland 35 ft, Shawme Crowell 20-40 ft back-in)",32,50,Driveway length is the governing measure,2 vehicles per campsite at most locations; 2 tents or 1 tent + 1 RV,Not stated,Per site via ReserveAmerica,https://www.mass.gov/info-details/learn-about-campground-regulations,1:00 PM,11:00 AM,https://www.mass.gov/camping-at-massachusetts-state-parks,Not stated,$17-$24 resident / $54-$70 non-resident,14 nights,14 cumulative days in one park between Memorial Day and Labor Day,https://www.mass.gov/doc/dcr-campground-regulations/download
Michigan,Measured from the reservation system: longest site 200 ft; Not published statewide; per site in MiDNRReservations,47,200,Not stated,"""only two vehicles are allowed on each campsite""; 1 camping unit",Not stated,Per site in the reservation system,https://www.michigan.gov/dnr/places/state-parks/rules,3:00 PM,1:00 PM,https://www.michigan.gov/dnr/faqs/state-parks-and-camping/camping-at-state-parks,Not stated,$10-$45,15 nights,Peak season May 15 - Sept 15; 5-night break before returning to the same park,https://www.michigan.gov/dnr/places/state-parks/rules
Minnesota,"Measured from the reservation system: longest site 157 ft; Not published statewide - campers are told to check ""the length of the parking pad"" in the reservation system",48,157,Pad length is the governing measure,"1 camping group (6 or fewer), 1 shelter and 1 vehicle; more only with park manager approval",Not stated,Per site (parking pad length) in the reservation system,https://www.dnr.state.mn.us/state_parks/rules.html,4:00 PM,4:00 PM,https://www.dnr.state.mn.us/state_parks/rules.html,Not stated,$15-$35,14 nights,"14 nights early May to mid-September, 21 nights the rest of the year",https://www.dnr.state.mn.us/reserve-faq/index.html
Mississippi,Not published,,,Not stated,1 camping unit per camp pad (+1 tent with manager approval),Not stated,No,https://www.mdwfp.com/parks-destinations/mississippi-state-park-rules-regulations,3:00 PM,11:00 AM,https://www.mdwfp.com/parks-destinations/mississippi-state-park-rules-regulations,Not stated,$17-$35,14 nights,Monthly camping available at some parks,https://www.mdwfp.com/parks-destinations/mississippi-state-park-rules-regulations
Missouri,Measured from the reservation system: longest site 173 ft; Not published as a number; governed by the pad,55,173,"YES in effect - ""All wheeled equipment/vehicles must fit on the parking pad/area""",2 sleeping units (only 1 wheeled) + 2 non-sleeping modes of transport; 1 watercraft/ATV trailer,Everything must stay on roads and parking pads unless the park's special regulations allow otherwise,No,https://mostateparks.com/activity/camping/rules-regulation,3:00 PM,2:00 PM,https://mostateparks.com/activity/camping/rules-regulation,"No, must fit on site",$13-$25,15 nights,15 days within any 30 consecutive days at one park,https://mostateparks.com/activity/camping/camping-fees
Montana,"Measured from the reservation system: longest site 95 ft; 40 ft at the parks that state it (Wayfarers, Big Arm, West Shore, Logan, Whitefish Lake)",37,95,Not stated,1 camping unit + 2 additional tents; 8 people,Not stated,No,https://fwp.mt.gov/stateparks/fees-and-general-information,2:00 PM,1:00 PM,https://fwp.mt.gov/stateparks/fees-and-general-information,Not stated,$4-$34,7 nights,Cut from 14 to 7 nights per 30-day period for the 2024 season,https://fwp.mt.gov/stateparks/fees-and-general-information
Nebraska,Measured from the reservation system: longest site 110 ft; Not published statewide,51,110,Not stated,Not published,Not stated,RV sites spaced at least 25 ft apart; 5 hookup levels,https://outdoornebraska.gov/parks/go-camping/campground-policy/,4:00 PM,2:00 PM,https://nebraskastateparks.reserveamerica.com/resource/contracts/ne/ReservationPolicies.pdf,Not stated,$10-$35,14 nights,14 consecutive days in any 30-day period; off-season rates $5 less,https://outdoornebraska.gov/parks/go-camping/campground-policy/
Nevada,"Measured from the reservation system: longest site 145 ft; Per park (e.g. Washoe Lake up to 45 ft, Dayton 34 ft)",50,145,Not stated,"""maximum of two vehicles and eight people"", variable at the park supervisor's discretion",Not stated,Per park on park pages,https://parks.nv.gov/about/park-rules-and-regulations,2:00 PM,11:00 AM,https://parks.nv.gov/about/reservations,Not stated,$15-$20 resident / $20-$25 non-resident,14 nights,"Plus $10 for hookups; 14 nights in any 30-day period, first come first served",https://parks.nv.gov/fees
New Hampshire,Measured from the reservation system: longest site 60 ft; Not published as a campsite limit; a 20 ft maximum vehicle length applies to parking,30,60,Not stated,Varies by campground (e.g. White Lake group area: 1 RV or pop-up + 3 cars),Not stated,No (campground guide is a graphic PDF),https://www.nhstateparks.org/find-camping-lodging/camping-policies,1:00 PM,11:00 AM,https://www.nhstateparks.org/find-camping-lodging/camping-policies,Not stated,$23-$75,14 nights,14 consecutive or cumulative days Memorial Day to Labor Day at the RV parks,https://www.nhstateparks.org/find-camping-lodging/camping-policies
New Jersey,Per park (e.g. Wharton State Forest Atsion and Godfrey Bridge: 22 ft maximum trailer),,,Not stated,"""No more than two vehicles (including trailers)"" - trailers count as vehicles","Additional vehicles $5/night, parked where the Superintendent designates",No,https://dep.nj.gov/wp-content/uploads/rules/rules/njac7_2.pdf,12:00 PM,12:00 PM,https://www.njportal.com/DEP/NJOutdoors/support/policy,Yes,$20-$30 resident / $25-$35 non-resident,14 nights,"Two-night minimum; extra stays in 7-night blocks with 7 nights out, 40 nights a year",https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-7-2-6-7
New Mexico,Measured from the reservation system: longest site 181 ft; Per park (e.g. Villanueva up to 40 ft; some parks as low as 18 ft),41,181,Not stated,Not published,Park only in established parking areas or turnouts,RV guide exists but is a graphic PDF,https://www.emnrd.nm.gov/spd/activities/camping/,4:00 PM,2:00 PM,https://www.emnrd.nm.gov/spd/know-before-you-go-faqs/,Not stated,$10-$40,14 nights,"14 days per 20-day period Oct 1 - Apr 30, 7 days per 20 in peak season",https://www.emnrd.nm.gov/spd/fees-permits/
New York,Measured from the reservation system: longest site 65 ft; Not published anywhere on the camping pages - contact the campsite before booking,32,65,Not stated,"""2 tents or 1 unit of hard-wheeled camping equipment and 1 tent""",Not stated,No,https://parks.ny.gov/camping/things-to-know,3:00 PM,11:00 AM,https://parks.ny.gov/camping/things-to-know,Not stated,$17-$40,14 nights,48-hour break after; 14 cumulative nights July 1 - Labor Day,https://parks.ny.gov/camping/fees-policies
North Carolina,Measured from the reservation system: longest site 146 ft; Not published statewide,55,146,Not stated,"""maximum limit of six people, two tents, and two vehicles per family campsite""",Not stated,No,https://www.ncparks.gov/about-us/guidelines-park-rules-and-regulations,3:00 PM,12:00 PM,https://www.dncr.nc.gov/news/press-releases/2024/01/02/north-carolina-state-parks-standardize-camping-check-and-check-out-times-beginning-june-2024,Not stated,$20-$30,14 nights,"14 nights per 30-day period, then 16 nights out of the park",https://www.ncparks.gov/about-us/state-parks-reservation-rates-and-activity-fees
North Dakota,Measured from the reservation system: longest site 199 ft; Not published statewide; per site in ReserveNDParks,59,199,Not stated,Not published,Not stated,Per site in the reservation system,https://www.parkrec.nd.gov/stay/camping,4:00 PM,3:00 PM,https://www.parkrec.nd.gov/faq,Not stated,$15-$40,14 nights,14 nights in any 30-day period; vehicle entrance permit required,https://www.parkrec.nd.gov/stay/camping
Ohio,Measured from the reservation system: longest site 170 ft; Not published statewide; per site on reserveohio.com,43,170,Not stated,2 vehicles per site (or 1 vehicle and 1 boat),"""Extra vehicles, boats and trailers must park in the camp office lot""",Per site in the reservation system,https://ohiodnr.gov/rules-and-regulations/rules-and-regulations-by-division/state-parks-and-watercraft/ohio-state-park-rules/camping-rules,3:00 PM,1:00 PM,https://ohiodnr.gov/rules-and-regulations/rules-and-regulations-by-division/state-parks-and-watercraft/ohio-state-park-rules/camping-rules,Yes,$15-$40,14 nights,14 days in any 30-day period,https://ohiodnr.gov/discover-and-learn/safety-conservation/about-odnr/division-parks-watercraft/stay-overnight/rates/camping-rates
Oklahoma,Measured from the reservation system: longest site 170 ft; Not published statewide,48,170,Not stated,Vehicles registered at booking; additional vehicles must register and buy a parking pass,Not stated,No,https://www.travelok.com/state-parks/reservation-guidelines,5:00 PM,2:00 PM,https://www.travelok.com/state-parks/reservation-guidelines,Not stated,$12-$30,14 nights,Extensions at the park manager's discretion,https://www.travelok.com/state-parks/reservation-guidelines
Oregon,"Measured from the reservation system: longest site 135 ft; ""Most campgrounds can accommodate RVs up to 50 feet in length, but site lengths vary greatly, even within the same park""",45,135,"YES - explicit: ""you must also be able to fit your tow vehicle onto the paved driveway""; a 25 ft RV + 22 ft tow vehicle needs a site at least 47 ft",1 towed vehicle free; a second driven vehicle costs $10,"""Some campgrounds allow extra-vehicle parking only in designated overflow areas""",Per-site lengths on the ReserveAmerica park pages,https://stateparks.oregon.gov/index.cfm?do=visit.dsp_faq,4:00 PM,1:00 PM,https://stateparks.oregon.gov/index.cfm?do=visit.faq,Some parks,$21-$52,14 nights,14 nights within any 30-night period in one campground,https://stateparks.oregon.gov/index.cfm?do=visit.faq
Pennsylvania,Measured from the reservation system: longest site 134 ft; Not published statewide,35,134,Not stated,1 vehicle at the campsite in addition to the camping unit,"""Additional vehicles park on the camping spur for a fee, or free in a second-car parking area""",No,https://www.pa.gov/agencies/dcnr/recreation/what-to-do/stay-overnight/rv-and-tent-campsites,3:00 PM,3:00 PM,https://www.pa.gov/agencies/dcnr/recreation/what-to-do/stay-overnight/rv-and-tent-campsites,Yes,$10-$35,14 nights,"14 nights Memorial Day to Labor Day, 21 nights the rest of the year; 48 hours out between stays",https://www.pa.gov/agencies/dcnr/recreation/where-to-go/state-parks/state-park-prices/camping
Rhode Island,Measured from the reservation system: longest site 119 ft; Per site; a site listed with a maximum vehicle length of 0 ft is tent-only,43,119,Not stated,Daily rate includes 1 vehicle pass - either the drivable camping unit or the vehicle towing it,Second vehicle pass costs extra,Per site in the site description,https://riparks.ri.gov/campgrounds/camping-policies,1:00 PM,11:00 AM,https://riparks.ri.gov/campgrounds/camping-policies,Not stated,$18-$28 resident / $36-$55 non-resident,14 nights,"14 nights per 21-day period in peak season, 21 per 28 off peak; 7 nights out after",https://riparks.ri.gov/campgrounds/camping-policies
South Carolina,Measured from the reservation system: longest site 91 ft; Not published statewide,38,91,Not stated,Max 2 passenger vehicles per site at most parks (golf carts and trailers count at some); 1 vehicle at tent sites at some parks,Not stated,No,https://southcarolinaparks.com/rules-regulations,2:00 PM,12:00 PM,https://southcarolinaparks.com/faqs,Not stated,$15-$35,14 nights,Cumulative limit 42 of 49 days; 7 days out after reaching it,https://southcarolinaparks.com/rules-regulations
South Dakota,"Measured from the reservation system: longest site 147 ft; Not published - campers are told to ""include the length and width of your camper to make sure it will fit on the site""",61,147,Not stated,1 camping unit per site; a second unit sharing a site pays its own fee where allowed,Not stated,Per site in the reservation system,https://gfp.sd.gov/camping-regulations/,4:00 PM,4:00 PM,https://reservations.gooutdoorssouthdakota.com/Policies.aspx,Not stated,$15-$35,14 nights,Longer only with the park manager's written consent,https://gfp.sd.gov/camping-regulations/
Tennessee,"Measured from the reservation system: longest site 170 ft; 20 ft to 76 ft depending on park (Natchez Trace Pin Oak takes up to 80 ft; Cub Lake 1 caps at 25 ft, Cub Lake 2 at 20 ft)",48,170,Not stated,"2 vehicles per site, all parked in the site's designated parking spot; 1 wheeled camper per RV site",In the site's designated parking spot,Per campground on park camping pages,https://tnstateparks.com/about/policies,4:00 PM,12:00 PM,https://tnstateparks.com/parks/campground/montgomery-bell,"No, must fit on site",$15-$50,14 nights,28 days Dec 1 - Feb 28/29; 3 nights out of the park after,https://tnstateparks.com/lodging/campgrounds
Texas,"Measured from the reservation system: longest site 161 ft; Set per park by the park manager, not statewide",49,161,"Not stated for length; the excess-vehicle fee exists ""due to limited campsite parking pad size and overflow parking areas""",Vehicle occupancy set per park; 1 RV per non-group campsite; motorcycles count as 1/2 vehicle,Overflow parking areas; excess-vehicle fee applies,No,https://tpwd.texas.gov/state-parks/park-reservation-information/vehicle-type-guidelines.pdf,2:00 PM,12:00 PM,https://tpwd.texas.gov/state-parks/park-reservation-information/reservation-definitions,Yes,$10-$35,14 nights,Some parks set other limits; per-person entrance fee extra,https://tpwd.texas.gov/state-parks/parks/things-to-do/camping
Utah,Measured from the reservation system: longest site 200 ft; Not published statewide,53,200,"Effectively YES for counting - ""a vehicle and attached in tow equipment is considered one vehicle""",1 vehicle per campsite (a vehicle plus in-tow equipment counts as one); some parks allow extras for a fee,Not stated,No,https://stateparks.utah.gov/resources/policies-and-park-rules/,Varies by park,Varies by park,https://stateparks.utah.gov/resources/policies-and-park-rules/,Not stated,$20-$60,14 nights,14 days within any 30-day period; managers may extend,https://stateparks.utah.gov/resources/policies-and-park-rules/
Vermont,Measured from the reservation system: longest site 45 ft; Not published statewide,27,45,Not stated,Max 8 people and 2 vehicles per site,Not stated,No,https://www.vtstateparks.com/camping,2:00 PM,11:00 AM,https://www.vtstateparks.com/camping,Not stated,$20 resident / $30 non-resident,21 nights,"21 nights most sites, 14 at prime sites, 7 for cabins; 7 days out after",https://www.vtstateparks.com/fees
Virginia,Measured from the reservation system: longest site 183 ft; 20 ft to 65 ft depending on park - published per park,40,183,Not stated,Not stated,Not stated,YES - full per-park counts by size for 22 parks,https://www.dcr.virginia.gov/state-parks/recreational-vehicles,4:00 PM,1:00 PM,https://www.dcr.virginia.gov/state-parks/faq,Not stated,$16-$43,14 nights,14 nights in a 30-day period in any one park,https://www.dcr.virginia.gov/state-parks/camping-fees
Washington,Measured from the reservation system: longest site 147 ft; Not published statewide; individual parks post vehicle limits (Deception Pass West Beach lot bars vehicles over 25 ft),43,147,Not stated,Max 8 persons per campsite,Not stated,No,https://parks.wa.gov/find-activity/activity-search/camping,2:30 PM,1:00 PM,https://parks.wa.gov/about-us/rules-and-safety/park-rules-and-regulations,Not stated,$12-$65,10 nights,10 nights per 30-day period per park; 90 nights a year statewide,https://parks.wa.gov/passes-permits/fees
West Virginia,Per park (Seneca State Forest recommends 28 ft max; Pipestem asks units over 25 ft to call),,,Not stated,"""Not more than 2 motor vehicles are permitted on a campsite at any time""; 1 camping unit",Not stated,No,https://wvstateparks.com/rules-and-regulations/,1:00 PM,12:00 PM,https://wvstateparks.com/rules-and-regulations/,Not stated,$20-$45,14 nights,14 nights May 1 through Labor Day,https://wvstateparks.com/rules-and-regulations/
Wisconsin,Measured from the reservation system: longest site 200 ft; Reservation filter buckets sites by 5 ft interval,50,200,"YES - explicit: the length ""indicates the maximum driveway length you have to fit all your equipment on the site (your trailer or RV, including the tow vehicle)""",Not stated,Not stated,YES - sites are grouped into 5 ft length buckets in the reservation filter,https://dnr.wisconsin.gov/topic/parks/camping/faq,3:00 PM,1:00 PM,https://dnr.wisconsin.gov/topic/parks/camping/rules,"No, must fit on site",$15-$30 resident / $20-$35 non-resident,14 nights,Extensions count toward the 14-day maximum; vehicle admission sticker extra,https://dnr.wisconsin.gov/topic/parks/camping/rules
Wyoming,Measured from the reservation system: longest site 200 ft; Per park (Boysen sites up to 75 ft; others 40-60 ft),60,200,Not stated,1 camping unit + 2 licensed vehicles + max 10 people; a reservation covers 1 vehicle,Additional vehicles pay on arrival,Per park on park pages,https://wyoparks.wyo.gov/index.php/learn/rules-regulations,3:00 PM,11:00 AM,https://wyoparks.wyo.gov/index.php/permits-reservations/reservations,Not stated,$10 resident / $18 non-resident,14 nights,Plus day-use fee and tax; 14 days in a rolling 30-day period per park,https://wyoparks.wyo.gov/index.php/permits-reservations/permits-fees
